"","council","lat","long","artist","title","location","year","url","img","yearrange","historic"
"25","Dublin City Council",53.337645,-6.251471,"Kim Bale","Monty","Baggot Street, Dublin 2",2015,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/kim-bale","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2d91b7d2e0673776b11301_Monty%20by%20Kim%20Bale%20(5)_.jpg","2015 - 2018",1
"26","Dublin City Council",53.395524,-6.264301,"Vikram Venkaraman","Dub - Man","Balcurris Road, Ballymun, Dublin 11",2015,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/vikram-venkaraman","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5ec7aee74d807c1354df36c6_Dub%20Man%20By%20Vikram%20Venkaraman%20(1)%20-%20DC.jpg","2015",0
"27","Dublin City Council",53.32884,-6.230665,"Marianne O' Dwyer","City Bio-diversity","Ballsbridge, Dublin 4.",2016,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/marianne-o-dwyer","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5fbcfe2990b06dcf4ac53077_Bio%20Diversity%20by%20Marianne%20O%27Dwyer%20(3).jpg","2016 - 2021",1
"28","Dublin City Council",53.32884,-6.230665,"Conor Fitzpatrick","The Dodder Kingfisher","Ballsbridge, Dublin 4.",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/conor-fitzpatrick","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/617170e1ae19d100698e34cd_The%20Dodder%20Kingfisher%20by%20Conor%20Fitzpatrick%203.jpg","2021",0
"29","Dublin City Council",53.376846,-6.309218,"Leigh Harrison","The Water Spear","Ballyboggan Road/Rotoath Road, Finglas, Dublin 11",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/leigh-harrison","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/617143bd724088c27cb67fa1_The%20Water%20Spear%2C%20biorra%20an%20uisce%E2%80%99%20by%20Leigh%20Harrison%20(6).jpg","2021",0
"30","Dublin City Council",53.346909,-6.282506,"Juliette Viode","Oh Deer","Benburb Street/John Street, Dublin 7",2018,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/juliette-viode","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e222b85bd16c05def404d6f_Oh%20Deer%20by%20Juliette%20Viode.jpg","2018",0
"31","South Dublin County Council",53.276811,-6.330905,"Conor Dunne","Historys Ebbs & Flows","Ballycullen Road, Killinniny Road, Ballycullen, Dublin",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/conor-dunne","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/6168572e953931b112a37113_History%E2%80%99s%20Ebbs%20%26%20Flows%20by%20Conor%20Dunne%20(1).jpg","2021",0
"32","Dublin City Council",53.342137,-6.35217,"Anne Marie McGrane","Getting the Messages","Ballyfermot Road at Tesco, Ballyfermot Road, Ballyfermot, Dublin 12",2018,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/anne-marie-mcgrane-2","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e1f6891a4508762c321182d_Getting%20the%20Messages%20by%20Anne%20Marie%20McGrane%20(1).jpg","2018",0
"33","Dublin City Council",53.343854,-6.372133,"Rachel Maher","Aurora","Ballyfermot Road, Cherry Orchard, Dublin 10.",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/rachel-maher-5","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/616d723f968398665378d985_%E2%80%98Aurora%E2%80%99%20by%20Rachel%20Maher%20(2).jpg","2021",0
"34","Dublin City Council",53.342567,-6.357925,"Teresa Howes","The GALA","Ballyfermot Road, Drumfinn, Dublin 10",2020,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/teresa-howes","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f9edcfbe5a1818083936ec2_The%20GALA%20by%20Teresa%20Howes%20%E2%80%93%20DCC%20-%202020%20(2).jpg","2020",0
"35","Dublin City Council",53.342439,-6.356509,"Anne Marie McGrane","Patience is a virtue","Ballyfermot Road, Le Fanu Avenue Junction, Ballyfermot, Dublin 12",2018,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/anne-marie-mcgrane","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e1f6805ec2d3017e9b1cd27_Patience%20is%20a%20Virtue%20by%20Anne%20Marie%20McCrane%20.jpg","2018",0
"36","Dublin City Council",53.34701,-6.270522,"Sheila Flaherty","Homage to Harry Clark","Mary's Lane, Dublin 1",2017,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/sheila-flaherty","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2dde828c2b171368c753af_Harry%20to%20Homage%20by%20Sheila%20Flaherty%202017%20%20(2).jpg","2017",0
"37","Dublin City Council",53.382328,-6.27633,"Iljin","Piece Unknown","Ballygall Road East, Glasnevin. Dublin 9",2016,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/iljin-2","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2da10b8c2b17af24c42097_Unknown%20By%20iljin%20%20(4).jpg","2016",0
"38","Dublin City Council",53.393582,-6.263936,"Finn O'Neill","Care of your mind","Ballymun Road, Trinity School, Ballymun, Dublin 11",2019,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/finn-oneill","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e28a0cf5c23a829dfceb35c_Care%20for%20your%20mind%20by%20Finn%20O%20Neill%204.jpg","2019",0
"39","Dublin City Council",53.389225,-6.264901,"Jess Downey","Story Bud","Ballymun Road/Glasnevin Avenue, Ballygall, Dublin 9",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/jess-downey-2","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/6171415563aae41b724743c0_Story%20Bud%20By%20Jessica%20Downey%20(2).jpg","2021",0
"40","Dublin City Council",53.389391,-6.264859,"Shalom Chiaverini","Summer Tales","Ballymun Road/Glasnevin Avenue, Ballygall, Dublin 9",2016,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/shalom-chiaverini-3","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e39a166a838ed31320e1a56_Summer%20Tales%20Box%201%20by%20Shalom%20Costa%20(7).jpg","2016 - 2021",1
"41","South Dublin County Council",53.346766,-6.422935,"Maureen Kelly Fox","Walk on the Wildside","Ballyowen Lane/Castle Road, Lucan, Dublin.",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/maureen-kelly-fox-7","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/616ab2be0666a50e82a184d3_Walk%20on%20the%20Wildside%20by%20Maureen%20Kelly%20Fox%20(1).jpg","2021",0
"42","South Dublin County Council",53.293819,-6.308835,"Sinead Tyner","Frogs","Ballyroan Road, Rathfarnham, Dublin",2019,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/sinead-tyner","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e29fb193b6472c84da240e0_Frogs%20by%20Sinead%20Tyner%203.jpg","2019",0
"43","South Dublin County Council",53.293819,-6.308835,"Sinead Tyner","Frogs","Ballyroan Road, Rathfarnham, Dublin",2019,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/sinead-tyner","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e29fb193b6472c84da240e0_Frogs%20by%20Sinead%20Tyner%203.jpg","2019",0
"44","Dublin City Council",53.337703,-6.226372,"Niall Maher","Greetings from Dublin","Bath Avenue/Londonbridge, Ringsend, D4",2018,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/niall-maher","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2f2a4a5fd72a874d722b7f_Greetings%20from%20Dublin%20by%20Niall%20Maher%20-%202018%20-%204.jpg","2018",0
"45","Dublin City Council",53.384699,-6.235925,"Karen Mc Ardle","Crann na Beatha","Beaumont Road, Beaumont Green, Beaumont, Dublin 5",2019,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/karen-mc-ardle","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e29f404b2e3274689cdc748_Crann%20na%20Beatha%20by%20Karen%20McArdle.jpg","2019",0
"46","Dublin City Council",53.347022,-6.270472,"Robert Mirolo","Coffee Pals","Mary's Lane, Dublin 1",2015,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/robert-mirolo","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e5533fb45f7bc85bed4c1c7_Coffee%20Pals%20by%20Robert%20Mirolo%20%20%20(3).jpg","2015 - 2017",1
"47","South Dublin County Council",53.298037,-6.37042,"William Wall","Floral Wall","Belgard Road- Mayberry Road, Tallaght, Dublin 24",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/william-wall","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/616afea2eea5c36289f43070_FLORALTIME%20by%20William%20Wall%20%20(6).jpg","2021",0
"48","South Dublin County Council",53.298037,-6.37042,"Brian Leech","Let it Pour","Belgard Road- Mayberry Road, Tallaght, Dublin 24",2018,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/brian-leech","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e1f7f7983568e860f706dcc_Let%20it%20Pour%20by%20Brian%20Leech.jpg","2018 - 2021",1
"49","South Dublin County Council",53.302999,-6.377255,"AlexandraCastro","Kawaii flowers","Belgard Road, Cookstown Road, Tallaght, Dublin 24.",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/alexandracastro","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/616843c31b3f92a0364b1e38_Kawaii%20Flowers%20and%20Plants%20by%20Alexandra%20Castro%20(8).jpg","2021",0
"50","South Dublin County Council",53.299258,-6.371678,"Emmalene Blake","Captain McCabe","Belgard Road, Tallaght, Dublin 24",2018,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/emmalene-blake-4","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e1f8872dc3c51c074a22f7d_Captain%20McCabe%20by%20Emmaline%20Blake%201.jpg","2018",0
"51","South Dublin County Council",53.29472,-6.369516,"Jessica Hayes","Jacobs","Belgard Square East (Windsor Motors), Tallaght, Dublin 24.",2019,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/jessica-hayes-2","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e274ec9548764499e204029_Jacob%E2%80%99s%20by%20Jessica%20Hayes%204.jpg","2019",0
"52","South Dublin County Council",53.28866,-6.369328,"Oleg Brazhnyk","Moonlight","Belgard Square East, Tallaght, Dublin 24",2018,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/oleg-brazhnyk-2","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e3997bd4bc97207ff5c869b_Luna%20by%20Oleg%20Brazhnyk.jpg","2018",0
"53","Dublin City Council",53.347042,-6.274964,"Shota Kotake","Billy in the Bowl","Church Street/North King Street, Dublin 1",2017,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/shota-kotake","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2f2c69fab0932181c7dfbe_Billy%20in%20the%20Bowl%20Shota%20Kotake%202017%203%20SQ.jpg","2017",0
"54","Dublin City Council",53.347044,-6.282486,"Aoife Ryan","Lady of the Northside","Johns Street, Dublin 7",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/aoife-ryan","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/616d838d3b1371247546e03a_Lady%20of%20the%20Northside%20by%20Aoife%20Ryan%20(25).jpg","2021",0
"55","Dublin City Council",53.33187,-6.264669,"Clara Dudley","Infinity City","Bernard Shaw, Camden Street, Dublin 2",2019,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/clara-dudley","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e24bc2f945b29573f61f536_Infinity%20City%20by%20Clara%20Dudley%205.jpg","2019",0
"56","Dublin City Council",53.33187,-6.264669,"Cathal McCoy","MolaBello","Bernard Shaw, Camden Street, Dublin 2",2017,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/cathal-mccoy-2","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5eaf02d1cd11461c7e7bc923_CC.jpg","2017 - 2019",1
"57","Fingal County Council",53.388957,-6.119826,"Gerry Banks","Crab Water","Binn Eadir View/Dublin Road, Burrow, Dublin 13",2018,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/gerry-banks","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e25b4c09b89b676f84957c5__CRAB%20WATER_%20by%20Bruer%20(Gerry%20Banks)%202.jpg","2018",0
"58","Dublin City Council",53.305644,-6.236676,"Gordan Bent","Espresso","Bird Avenue, Clonskeagh, Dublin 6",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/gordan-bent","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/61717b6263aae4187c489e3f_Espresso%20by%20Gordan%20Bent%20(1).jpg","2021",0
"59","Dublin City Council",53.347044,-6.282486,"Felipe Muller","Be Careful What You are Looking At!","Johns Street, Dublin 7",2016,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/felipe-muller","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2d9c435b8bed7fefb0e774_Be%20Careful%20What%20You%27re%20Looking%20At%20By%20Felipe%20M%C3%BCller%20(3).jpg","2016 - 2021",1
"60","Dublin City Council",53.347163,-6.280133,"Lanni Power","Philo","Queen Street, Dublin 1",2017,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/lanni-power","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2c7bbb12d9350eabe5a778_Philo%20by%20Lanni%20Power%202017%202.jpg","2017 - 2021",1
"61","Dublin City Council",53.347163,-6.280133,"Oleg Brazhnyk","Hold On and On and On","Queen Street, Dublin 1",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/oleg-brazhnyk-3","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/615b54baea0efa0382e103fc_Hold%20On%20And%20On%20And%20On%20by%20Oleg%20Brazhnyk%20(5).jpg","2021",0
"62","Fingal County Council",53.385884,-6.374758,"Maximilian Cope","The Guardian","Blanchardstown Village, Blanchardstown, Dublin 15.",2018,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/maximilian-cope","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e25b725acccd17351179ed4_The%20Guardian%20and%20the%20Dreamer%20by%20Maximilian%20Cope%20%20(2).jpg","2018",0
"63","Dublin City Council",53.333135,-6.32935,"Eva Kelly","Birds of a Feather","Bluebell Road, Naas Road, 'The Gap', Bluebell, Dublin 12",2018,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/eva-kelly","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e1f8e7ddc3c5136e2a299cd_Birds%20of%20a%20Feather%20by%20Eva%20Kelly%203.jpg","2018",0
"64","Dublin City Council",53.347451,-6.238288,"Anne Marie McCrane","Rabbits","North Wall Quay, Dublin 3",2019,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/anne-marie-mccrane","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e1f66e4f3f22a159c26a9b0_Rabbits%20Ag%20Rotha%C3%ADocht%20by%20Anne%20Marie%20McGrane%205.jpg","2019",0
"65","Dublin City Council",53.347596,-6.241081,"Francis Quinn","A Gordian Knot in Space","Church Street, Dublin 7",2015,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/francis-quinn","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2772cc1c1a5435137de08b_A%20Gordian%20Knot%20in%20Space%20By%20Francis%20Quinn%20(1).jpg","2015 - 2017",1
"66","Dublin City Council",53.347596,-6.241081,"Hannagh Mc Donagh","Phantasmagorical","Samuel Beckett Bridge, Northwall Quay, Dublin 1.",2015,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/hannah-mc-donagh","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e277386e301214dc18bca77_Phantasmagoricalby%20Hannagh%20(1).jpg","2015 - 2017",1
"67","Dublin City Council",53.347777,-6.291911,"Ciara Palmer","Eirigh le misneach agus brod - let us rise with courage and pride","Parkgate Street, Dublin 1",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/ciara-palmer","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/616dabc609aa0724f3cf084b_%E2%80%98Let%20us%20rise%20with%20courage%20and%20pride%E2%80%99%20by%20artist%20Ciara%20Palmer%20(2).jpg","2021",0
"68","Dublin City Council",53.371877,-6.266482,"Joanne Harold","Peeping from the Primulas","Botanic Ave/St Mobhi Road, Dublin 5.",2016,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/joanne-harold-2","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e2c791ab0943f6f74bd3380_Peeping%20from%20the%20Primulas%20by%20Joanne%20Harold%20(3).jpg","2016",0
"69","South Dublin County Council",53.276858,-6.357265,"Geoff Tracey","Paddy Drac","Bothar Teach - Old Bawn Road, Tallaght, Dublin 24.",2019,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/geoff-tracey-2","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e270bf295be18c2753b9740_PADDY%20DRAC%20by%20Geoffrey%20Tracey%203.jpg","2019",0
"70","Dun Laoghaire Rathdown County Council",53.261719,-6.149511,"Amalia Naughton","Greener Future","Bray Road/Johnstown Road, Cabinteely, Co. Dublin.",2021,"https://www.dublincanvas.com/dublin-canvas-artist-profiles/amalia-naughton-2","https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/6165b46e8f3015744a89a499_Greener%20Future%20by%20Amalia%20Naughton%20(4).jpg","2021",0
